movie_id,title,release_date,vote_average,popularity,overview
1685001,Peaches and Cream,2026-04-29,0.0,0.0071,A man who’s dealing with loneliness and identity issues is taken hostage by two masked figures who attempt to brainwash him.
1684945,Fault,2026-04-29,0.0,0.0071,A college tennis star's life spirals out of control.
1684934,C'est quoi le bonheur ?,2026-04-29,0.0,0.0071,
1684640,La Séquence Parfaite,2026-04-29,0.0,0.0143,
1684618,Obsessed,2026-04-29,0.0,0.0429,"Desperate to feel seen, an insecure college student fixates on a girl who embodies everything she isn’t, pushing her toward a shocking and irreversible act."
1684606,Töst,2026-04-29,0.0,0.0214,"On the 24th of June 2024 mum bought me a toaster, and my life has changed forever."
1684596,Corollarium,2026-04-29,0.0,0.1071,
1684559,Irish Goodbye,2026-04-29,0.0,0.0786,KNEECAP ft. KAE TEMPEST - IRISH GOODBYE
1684530,An Afternoon with a Gnawa,2026-04-29,0.0,0.0071,"The Gnawa inhabit ordinary and non-ordinary worlds, their music and song creating spaces passageways between the two. This experimental non-fiction video gives a glimpse of such a passage through a brief encounter with Mustafa, a musician who lives in Rabat, Morocco."
1684526,Twin Snakes,2026-04-29,0.0,0.0143,"Like two snakes chasing each other’s tails, time wriggles forward and backwards in Lev Kalman and Whitney Horn’s surrealist satire. In 2001, a pair of young investigators wander a mansion that is haunted by both its eastern relics and their western collector. Meanwhile, in the present day, they are watched by The Therapists, two Lululemon-clad researchers following metaphysical wellness rituals. A mysterious lo-fi kaleidoscope, with cameos by Condoleezza Rice, Shah Jahan, and Brendan Fraser."
1684522,Archura Leaves the City Forever,2026-04-29,0.0,0.0071,A lost forest spirit named Archura explores New York and tries to find a home while confronting an urban landscape that is rapidly taken over by luxury developments.
1684520,A Bundle of Silences,2026-04-29,0.0,0.0143,"A Bundle of Silences is an experimental documentary that circles around the 1983 Águila Blanca heist, when the Puerto Rican pro-independence revolutionary group Los Macheteros expropriated $7 million from a Wells Fargo depot in Hartford, Connecticut. At its center are two figures who remain out of reach: Víctor Gerena, the Puerto Rican employee who carried out the robbery and vanished beyond the FBI’s grasp, and his mother, Gloria Gerena, a community organizer, social worker and advocate for bilingual education who passed away in 2022."
1684272,BE6IN FOREVER,2026-04-29,10.0,2.5214,
1684250,SPIRIT,2026-04-29,0.0,0.0286,"A detective trys to uncover the secrets behind a mysterious death in a park, What he finds shocks him to his core"
1684236,IDIOTS,2026-04-29,0.0,0.0614,An argument erupts between two hitmen after a refusal to admit to murder.
1684205,Last Chance,2026-04-29,0.0,0.0404,"A careless college student named Panca lives in constant delay, ignoring his prayers and convincing himself there is always more time, while his disciplined roommate Wahyu reminds him that time is precious;"
1683920,Four Words for Memory,2026-04-29,0.0,0.0261,"A diary film: Montage mirroring disorganized recollections of seasons, places, and people, unified through movement. Created by Nico Listi. Silent. Color. Digital."
1683867,PUTTHINATOR,2026-04-29,0.0,0.0071,Willy P is a good guy with a good life. Too bad for him the PUTTHINATOR has him in his sights.
1683583,Minuit moins dix,2026-04-29,0.0,0.0411,
1683498,STORYLINE,2026-04-29,0.0,0.0143,
1683218,CENSUS,2026-04-29,0.0,0.047,"All citizens must provide complete and truthful information upon request. Legal guardians are responsible for submitting binding testimony regarding the conduct, associations, and ideological alignment of minors under their care. This information will be used to assess compliance with national regulations. Citizens are required to cooperate fully to ensure the continued security and order of the United States of America."
1683201,Lannionzon 2.4,2026-04-29,10.0,0.1514,
1682886,3 Zimmer / Küche / Bad,2026-04-29,0.0,0.0071,
1682879,Pleasure | Myself,2026-04-29,0.0,0.0143,
1682625,Terror en Buenos Aires,2026-04-29,0.0,0.0338,"A girl who had been kidnapped for two months escapes from her rapist. On the sidewalk, she begs a stranger for help, not knowing that she is signing her own death sentence."
1682595,Hollow,2026-04-29,0.0,0.1023,"A boy’s ordinary conversation in a park spirals into a haunting journey through love, trauma, and guilt as the ghost of his past resurfaces."
1681255,Oblivious,2026-04-29,0.0,0.0468,"Part of a friend group falls into drugs, and they must pick their moves wisely, on how to tell the rest. Whilst a young girl starts to pick up on their activity, the very Pusher they promised full vigilance too becomes a threat, seeking to destroy the Oblivious crew."
1680756,New Years Day | .556,2026-04-29,0.0,0.0409,Travis Helders invites Ella Verneuil Capulet for a trip to the supermarket.
1680504,Merci pour les épines,2026-04-29,0.0,0.0698,
1679990,Thoughts and Feelings. Full Game Walkthrough!,2026-04-29,0.0,0.1301,A brand new video game from the same people who brought you depression in the 4th grade.
1679789,Frontal Lobectomy,2026-04-29,0.0,0.0885,"A man gets his empathy surgically removed, in order to pursue a corporate career."
1679101,Ethereal Torments,2026-04-29,0.0,0.1077,"In order to find balance between physical attractions, an obedient man stands before two deities."
1678866,Silent Heroes,2026-04-29,0.0,0.1925,
1678422,Made of Meat,2026-04-29,0.0,0.0671,An ordinary man experiences the mental consequences that come with watching gore videos.
1678289,Somos Uma Geração Perdida?,2026-04-29,0.0,0.0404,"""We Are a Lost Generation"" is a collective film, made by the young people of the ""My Place in the World"" Association, with the participation and support of the Anselmo Braamcamp community in Porto. The film follows a group of young people who come together to organize a surprise party for one of the street's honorary residents, Dona Esmeralda, inviting the entire neighborhood to join in the celebration."
1678130,Être paysan·ne,2026-04-29,0.0,0.0071,
1675363,Moi*s,2026-04-29,0.0,0.0071,
1673698,Césium,2026-04-29,0.0,0.0534,
1673368,Under Exposed,2026-04-29,0.0,0.2918,"Follows the life of Lucy Parks, a college photographer that is desperate to find a way to expand her clientele. Her financial trauma, and desperation to take risks, ultimately change everything."
1672958,Flowers Only Bloom in Winter,2026-04-29,0.0,0.0338,When lost musician is hit with frightening news he must make his way through a psychological dreamscape where he must confront his deepest fears.
1672937,Fractured,2026-04-29,0.0,0.0982,"On the night of his messy breakup, a drunk and heartbroken brother reconnects with his estranged sister, who becomes the comfort he didn't know he needed."
1671198,Esperando a María,2026-04-29,0.0,0.0699,
1670123,Warak Areesh,2026-04-29,0.0,0.0535,"A cautious woman, hindered by a language barrier, struggles to connect with her grandmother but discovers a bond through food and tradition."
1669047,Shelf Life,2026-04-29,0.0,0.0759,"After her breakup turns into a homicide, a strung-out young woman named Rookie escapes to a rundown motel with her accomplice Vee. There, they enlist the help of a mutual friend, Logan, an over-worked nurse, to help them in their escape plan. But convincing someone to help you get away with murder isn't as easy as it sounds. Tensions boil between the three best friends in their cramped motel room until Rookie finally gives in to her reality and tells Logan the truth of why she had to end her relationship with a hammer; her heart has stopped beating."
1664995,The Bridge,2026-04-29,0.0,0.0507,"Owners, players, managers come and go, but the fans are forever.  The Bridge follows the fans of one of the world's most storied football clubs, Chelsea FC."
1662987,NJPW Road to Wrestling Dontaku 2026 - Day 6,2026-04-29,0.0,0.1414,"The sixth night of Road to Wrestling Dontaku 2026 took place on April 29, 2026, at Saga Arena in Saga, Japan. The event was headlined by DOUKI (c) vs. Tiger Mask in a Lumberjack match for the IWGP Junior Heavyweight Championship."
1658158,Neutral Ground,2026-04-29,0.0,0.0557,"Stéphane and Mehdi use their personal histories as the basis from which to question this concept and its history up to the UN Security Council. But in our world of increasingly polarising conflicts, is there trully any other option that to take sides?"
1657477,Stories for Sandro,2026-04-29,0.0,0.0168,"After being diagnosed with Alzheimer's, Sandro begins writing down his memories—incredible tales previously unknown to his family."
1654371,A Flower Falling Back Into the Earth,2026-04-29,0.0,0.0338,"This film emerged from footage originally captured for a feature documentary on enforced disappearances among Sri Lanka’s Tamil population—specifically, an interview with a mother whose son vanished in the war’s final stages."
1654052,Quand j'étais petit.e,2026-04-29,0.0,0.1201,
